"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
177,05/12/15 12:12:18 AM,14.3745,69.449,,
178,05/12/15 12:17:18 AM,14.3745,69.449,,
179,05/12/15 12:22:18 AM,14.3760,69.449,,
180,05/12/15 12:27:18 AM,14.3731,69.449,,
181,05/12/15 12:32:18 AM,14.3716,69.449,,
182,05/12/15 12:37:18 AM,14.3716,69.449,,
183,05/12/15 12:42:18 AM,14.3716,69.449,,
184,05/12/15 12:47:18 AM,14.3702,69.449,,
185,05/12/15 12:52:18 AM,14.3689,69.449,,
186,05/12/15 12:57:18 AM,14.3689,69.449,,
187,05/12/15 01:02:18 AM,14.3689,69.449,,
188,05/12/15 01:07:18 AM,14.3689,69.449,,
189,05/12/15 01:12:18 AM,14.3689,69.449,,
190,05/12/15 01:17:18 AM,14.3674,69.449,,
191,05/12/15 01:22:18 AM,14.3702,69.449,,
192,05/12/15 01:27:18 AM,14.3702,69.449,,
193,05/12/15 01:32:18 AM,14.3689,69.449,,
194,05/12/15 01:37:18 AM,14.3689,69.449,,
195,05/12/15 01:42:18 AM,14.3689,69.449,,
196,05/12/15 01:47:18 AM,14.3689,69.449,,
197,05/12/15 01:52:18 AM,14.3689,69.449,,
198,05/12/15 01:57:18 AM,14.3731,69.449,,
199,05/12/15 02:02:18 AM,14.3731,69.449,,
200,05/12/15 02:07:18 AM,14.3716,69.449,,
201,05/12/15 02:12:18 AM,14.3716,69.449,,
202,05/12/15 02:17:18 AM,14.3702,69.449,,
203,05/12/15 02:22:18 AM,14.3702,69.449,,
204,05/12/15 02:27:18 AM,14.3731,69.449,,
205,05/12/15 02:32:18 AM,14.3702,69.449,,
206,05/12/15 02:37:18 AM,14.3702,69.449,,
207,05/12/15 02:42:18 AM,14.3716,69.449,,
208,05/12/15 02:47:18 AM,14.3689,69.449,,
209,05/12/15 02:52:18 AM,14.3660,69.449,,
210,05/12/15 02:57:18 AM,14.3674,69.449,,
211,05/12/15 03:02:18 AM,14.3660,69.449,,
212,05/12/15 03:07:18 AM,14.3631,69.449,,
213,05/12/15 03:12:18 AM,14.3645,69.449,,
214,05/12/15 03:17:18 AM,14.3645,69.449,,
215,05/12/15 03:22:18 AM,14.3616,69.449,,
216,05/12/15 03:27:18 AM,14.3602,69.449,,
217,05/12/15 03:32:18 AM,14.3616,69.449,,
218,05/12/15 03:37:18 AM,14.3660,69.449,,
219,05/12/15 03:42:18 AM,14.3660,69.449,,
220,05/12/15 03:47:18 AM,14.3645,69.449,,
221,05/12/15 03:52:18 AM,14.3602,69.449,,
222,05/12/15 03:57:18 AM,14.3616,69.449,,
223,05/12/15 04:02:18 AM,14.3616,69.449,,
224,05/12/15 04:07:18 AM,14.3616,69.449,,
225,05/12/15 04:12:18 AM,14.3631,69.449,,
226,05/12/15 04:17:18 AM,14.3616,69.449,,
227,05/12/15 04:22:18 AM,14.3631,69.449,,
228,05/12/15 04:27:18 AM,14.3645,69.449,,
229,05/12/15 04:32:18 AM,14.3645,69.449,,
230,05/12/15 04:37:18 AM,14.3660,69.449,,
231,05/12/15 04:42:18 AM,14.3660,69.449,,
232,05/12/15 04:47:18 AM,14.3674,69.449,,
233,05/12/15 04:52:18 AM,14.3660,69.449,,
234,05/12/15 04:57:18 AM,14.3689,69.449,,
235,05/12/15 05:02:18 AM,14.3660,69.449,,
236,05/12/15 05:07:18 AM,14.3645,69.449,,
237,05/12/15 05:12:18 AM,14.3631,69.449,,
238,05/12/15 05:17:18 AM,14.3631,69.449,,
239,05/12/15 05:22:18 AM,14.3631,69.449,,
240,05/12/15 05:27:18 AM,14.3660,69.449,,
241,05/12/15 05:32:18 AM,14.3645,69.449,,
242,05/12/15 05:37:18 AM,14.3660,69.449,,
243,05/12/15 05:42:18 AM,14.3660,69.449,,
244,05/12/15 05:47:18 AM,14.3660,69.449,,
245,05/12/15 05:52:18 AM,14.3645,69.449,,
246,05/12/15 05:57:18 AM,14.3660,69.449,,
247,05/12/15 06:02:18 AM,14.3660,69.449,,
248,05/12/15 06:07:18 AM,14.3660,69.449,,
249,05/12/15 06:12:18 AM,14.3660,69.449,,
250,05/12/15 06:17:18 AM,14.3702,69.449,,
251,05/12/15 06:22:18 AM,14.3689,69.449,,
252,05/12/15 06:27:18 AM,14.3689,69.449,,
253,05/12/15 06:32:18 AM,14.3731,69.449,,
254,05/12/15 06:37:18 AM,14.3731,69.449,,
255,05/12/15 06:42:18 AM,14.3731,69.449,,
256,05/12/15 06:47:18 AM,14.3731,69.449,,
257,05/12/15 06:52:18 AM,14.3745,69.449,,
258,05/12/15 06:57:18 AM,14.3760,69.449,,
259,05/12/15 07:02:18 AM,14.3760,69.449,,
260,05/12/15 07:07:18 AM,14.3774,69.449,,
261,05/12/15 07:12:18 AM,14.3789,69.449,,
262,05/12/15 07:17:18 AM,14.3774,69.449,,
263,05/12/15 07:22:18 AM,14.3792,69.622,,
264,05/12/15 07:27:18 AM,14.3792,69.622,,
265,05/12/15 07:32:18 AM,14.3806,69.622,,
266,05/12/15 07:37:18 AM,14.3792,69.622,,
267,05/12/15 07:42:18 AM,14.3821,69.622,,
268,05/12/15 07:47:18 AM,14.3811,69.793,,
269,05/12/15 07:52:18 AM,14.3825,69.793,,
270,05/12/15 07:57:18 AM,14.3811,69.793,,
271,05/12/15 08:02:18 AM,14.3814,69.964,,
272,05/12/15 08:07:18 AM,14.3828,69.964,,
273,05/12/15 08:12:18 AM,14.3814,69.964,,
274,05/12/15 08:17:18 AM,14.3814,69.964,,
275,05/12/15 08:22:18 AM,14.3818,70.137,,
276,05/12/15 08:27:18 AM,14.3832,70.137,,
277,05/12/15 08:32:18 AM,14.3832,70.137,,
278,05/12/15 08:37:18 AM,14.3847,70.137,,
279,05/12/15 08:42:18 AM,14.3832,70.137,,
280,05/12/15 08:47:18 AM,14.3822,70.308,,
281,05/12/15 08:52:18 AM,14.3835,70.308,,
282,05/12/15 08:57:18 AM,14.3835,70.308,,
283,05/12/15 09:02:18 AM,14.3850,70.308,,
284,05/12/15 09:07:18 AM,14.3835,70.308,,
285,05/12/15 09:12:18 AM,14.3835,70.308,,
286,05/12/15 09:17:18 AM,14.3840,70.480,,
287,05/12/15 09:22:18 AM,14.3840,70.480,,
288,05/12/15 09:27:18 AM,14.3869,70.480,,
289,05/12/15 09:32:18 AM,14.3869,70.480,,
290,05/12/15 09:37:18 AM,14.3869,70.480,,
291,05/12/15 09:42:18 AM,14.3869,70.480,,
292,05/12/15 09:47:18 AM,14.3857,70.651,,
293,05/12/15 09:52:18 AM,14.3857,70.651,,
294,05/12/15 09:57:18 AM,14.3886,70.651,,
295,05/12/15 10:02:18 AM,14.3869,70.480,,
296,05/12/15 10:07:18 AM,14.3854,70.480,,
297,05/12/15 10:12:18 AM,14.3869,70.480,,
298,05/12/15 10:17:18 AM,14.3883,70.480,,
299,05/12/15 10:22:18 AM,14.3879,70.308,,
300,05/12/15 10:27:18 AM,14.3879,70.308,,
301,05/12/15 10:32:18 AM,14.3879,70.308,,
302,05/12/15 10:37:18 AM,14.3893,70.308,,
303,05/12/15 10:42:18 AM,14.3889,70.137,,
304,05/12/15 10:47:18 AM,14.3918,70.137,,
305,05/12/15 10:52:18 AM,14.3876,70.137,,
306,05/12/15 10:57:18 AM,14.3889,70.137,,
307,05/12/15 11:02:18 AM,14.3876,70.137,,
308,05/12/15 11:07:18 AM,14.3889,70.137,,
309,05/12/15 11:12:18 AM,14.3889,70.137,,
310,05/12/15 11:17:18 AM,14.3876,70.137,,
311,05/12/15 11:22:18 AM,14.3847,70.137,,
312,05/12/15 11:27:18 AM,14.3861,70.137,,
313,05/12/15 11:32:18 AM,14.3876,70.137,,
314,05/12/15 11:37:18 AM,14.3847,70.137,,
315,05/12/15 11:42:18 AM,14.3857,69.964,,
316,05/12/15 11:47:18 AM,14.3843,69.964,,
317,05/12/15 11:52:18 AM,14.3857,69.964,,
318,05/12/15 11:57:18 AM,14.3857,69.964,,
319,05/12/15 12:02:18 PM,14.3872,69.964,,
320,05/12/15 12:07:18 PM,14.3886,69.964,,
321,05/12/15 12:12:18 PM,14.3886,69.964,,
322,05/12/15 12:17:18 PM,14.3872,69.964,,
323,05/12/15 12:22:18 PM,14.3857,69.964,,
324,05/12/15 12:27:18 PM,14.3857,69.964,,
325,05/12/15 12:32:18 PM,14.3857,69.964,,
326,05/12/15 12:37:18 PM,14.3828,69.964,,
327,05/12/15 12:42:18 PM,14.3814,69.964,,
328,05/12/15 12:47:18 PM,14.3796,69.793,,
329,05/12/15 12:52:18 PM,14.3796,69.793,,
330,05/12/15 12:57:18 PM,14.3825,69.793,,
331,05/12/15 01:02:18 PM,14.3796,69.793,,
332,05/12/15 01:07:18 PM,14.3796,69.793,,
333,05/12/15 01:12:18 PM,14.3782,69.793,,
334,05/12/15 01:17:18 PM,14.3782,69.793,,
335,05/12/15 01:22:18 PM,14.3767,69.793,,
336,05/12/15 01:27:18 PM,14.3767,69.793,,
337,05/12/15 01:32:18 PM,14.3753,69.793,,
338,05/12/15 01:37:18 PM,14.3906,76.703,,
339,05/12/15 01:42:18 PM,14.3898,76.354,,
340,05/12/15 01:47:18 PM,14.4041,76.354,,
341,05/12/15 01:52:18 PM,14.4439,77.400,,
342,05/12/15 01:57:18 PM,14.3426,78.975,,
343,05/12/15 02:02:18 PM,14.3889,80.382,,
344,05/12/15 02:07:18 PM,14.3875,81.621,,
345,05/12/15 02:12:18 PM,14.3861,82.330,,
346,05/12/15 02:17:18 PM,14.4018,82.864,,
347,05/12/15 02:22:18 PM,14.4065,83.043,,
348,05/12/15 02:27:18 PM,14.4165,83.043,,
349,05/12/15 02:32:18 PM,14.4221,83.579,,
350,05/12/15 02:37:18 PM,14.4176,84.115,,
351,05/12/15 02:42:18 PM,14.4178,84.834,,
352,05/12/15 02:47:18 PM,14.4170,85.735,,
353,05/12/15 02:52:18 PM,14.4144,86.459,,
354,05/12/15 02:57:18 PM,14.4147,87.186,,
355,05/12/15 03:02:18 PM,14.4150,87.915,,
356,05/12/15 03:07:18 PM,14.4153,88.650,,
357,05/12/15 03:12:18 PM,14.4166,89.200,,
358,05/12/15 03:17:18 PM,14.4141,89.384,,
359,05/12/15 03:22:18 PM,14.4131,89.569,,
360,05/12/15 03:27:18 PM,14.4121,89.755,,
361,05/12/15 03:32:18 PM,14.4125,89.938,,
362,05/12/15 03:37:18 PM,14.4130,90.124,,
363,05/12/15 03:42:18 PM,14.4083,89.938,,
364,05/12/15 03:47:18 PM,14.4083,89.938,,
365,05/12/15 03:52:18 PM,14.4083,89.938,,
366,05/12/15 03:57:18 PM,14.4050,89.755,,
367,05/12/15 04:02:18 PM,14.4021,89.755,,
368,05/12/15 04:07:18 PM,14.4031,89.569,,
369,05/12/15 04:12:18 PM,14.3998,89.384,,
370,05/12/15 04:17:18 PM,14.4018,89.017,,
371,05/12/15 04:22:18 PM,14.4014,88.833,,
372,05/12/15 04:27:18 PM,14.4024,88.650,,
373,05/12/15 04:32:18 PM,14.3991,88.466,,
374,05/12/15 04:37:18 PM,14.3986,88.282,,
375,05/12/15 04:42:18 PM,14.3986,88.282,,
376,05/12/15 04:47:18 PM,14.3967,88.099,,
377,05/12/15 04:52:18 PM,14.3978,87.915,,
378,05/12/15 04:57:18 PM,14.3983,87.552,,
379,05/12/15 05:02:18 PM,14.3960,87.186,,
380,05/12/15 05:07:18 PM,14.3956,87.004,,
381,05/12/15 05:12:18 PM,14.3951,86.823,,
382,05/12/15 05:17:18 PM,14.3947,86.641,,
